player_name,position,team,season,games,fg_made,fg_att,fg_pct,fg_long,pat_made,pat_att,source
Matt Gay,K,IND,2023,17,33,41,0.804878048780488,57,35,36,nflverse
Chase McLaughlin,K,TB,2023,17,29,31,0.935483870967742,57,33,33,nflverse
Tyler Bass,K,BUF,2023,17,24,29,0.827586206896552,54,49,50,nflverse
Riley Patterson,K,CLE,2023,15,16,18,0.888888888888889,52,41,44,nflverse
Evan McPherson,K,CIN,2023,17,26,31,0.838709677419355,56,40,40,nflverse
Cameron Dicker,K,LAC,2023,17,31,33,0.939393939393939,55,35,35,nflverse
Brandon Aubrey,K,DAL,2023,17,36,38,0.947368421052632,60,49,52,nflverse
Lucas Havrisik,K,LA,2023,9,15,20,0.75,52,19,22,nflverse
Anders Carlson,K,GB,2023,17,27,33,0.818181818181818,53,34,39,nflverse
Jake Moody,K,SF,2023,17,21,25,0.84,57,60,61,nflverse
Chad Ryland,K,NE,2023,17,16,25,0.64,56,24,25,nflverse
Blake Grupe,K,NO,2023,17,30,37,0.810810810810811,55,40,40,nflverse
Nick Folk,K,TEN,2024,14,21,22,0.954545454545455,56,25,25,nflverse
Graham Gano,K,NYG,2024,10,9,11,0.818181818181818,53,15,15,nflverse
